"統計名：","平成28年社会生活基本調査 調査票Ａに基づく結果 生活時間に関する結果 生活時間編（全国）"
"表番号：","1-1"
"表題：","曜日,男女,ふだんの就業状態,スマートフォン・パソコンなどの使用時間,年齢,行動の種類別総平均時間(15歳以上)－全国"
"実施年月：","2016年","10月"

"表章項目","曜日4_071_2016A","男女3_001_2016A","時間軸(年次)","ふだんの就業状態9_007_2016A","スマートフォン・PCなどの使用時間8_085_2016A","年齢20_002_2016A","/行動の種類24_074_2016A","サンプルサイズ","推定人口【千人】","00_総数【分】","01_睡眠【分】","02_身の回りの用事【分】","03_食事【分】","04_通勤・通学【分】","05_仕事【分】","06_学業【分】","07_家事【分】","08_介護・看護【分】","09_育児【分】","10_買い物【分】","11_移動(通勤・通学を除く)【分】","12_テレビ・ラジオ・新聞・雑誌【分】","13_休養・くつろぎ【分】","14_学習・自己啓発・訓練(学業以外)【分】","15_趣味・娯楽【分】","16_スポーツ【分】","17_ボランティア活動・社会参加活動【分】","18_交際・付き合い【分】","19_受診・療養【分】","20_その他【分】","R1_（再掲）１次活動【分】","R2_（再掲）２次活動【分】","R3_（再掲）３次活動【分】"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","10_60～64歳","","12,366","3,661","1,440","428","83","106","30","213","2","112","7","5","32","41","172","81","10","47","15","7","20","8","23","617","401","422"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","11_65～69歳","","11,010","3,453","1,440","446","85","112","17","124","2","115","5","5","33","39","204","84","16","66","24","10","20","7","26","643","301","496"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","12_70～74歳","","5,440","1,763","1,440","459","88","119","8","71","1","107","5","5","35","42","216","85","16","74","31","14","22","11","29","666","232","542"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","13_75～79歳","","3,001","997","1,440","465","91","122","8","49","2","107","6","2","32","36","235","92","21","73","28","11","21","12","28","678","205","557"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","14_80～84歳","","1,307","462","1,440","482","94","128","4","30","1","96","5","1","34","36","235","91","24","76","27","14","19","17","27","704","170","566"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","15_85歳以上","","410","139","1,440","514","102","126","3","15","1","82","7","1","25","26","216","172","23","54","11","3","15","22","22","741","133","565"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","R1_(再掲)20歳以上","","161,059","59,642","1,440","441","80","94","41","283","13","85","3","25","27","33","103","92","11","53","11","4","19","6","17","615","477","349"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","R2_(再掲)35歳以上","","123,123","42,291","1,440","431","82","98","38","277","3","103","4","19","29","34","122","88","9","45","12","5","17","6","18","610","472","358"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","R3_(再掲)65歳以上","","21,168","6,814","1,440","456","88","116","12","91","2","109","5","4","33","39","214","88","18","69","26","11","21","10","27","660","257","523"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","R4_(再掲)75歳以上","","4,718","1,597","1,440","474","93","124","6","40","2","101","5","1","32","35","234","98","22","72","26","11","20","14","27","691","189","561"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","00_総数","","62,819","20,868","1,440","438","82","97","38","276","19","103","4","23","27","37","112","79","11","32","13","5","19","6","19","618","490","332"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","01_15～19歳","","1,911","664","1,440","446","74","89","64","23","408","6","0","1","8","26","42","76","83","33","31","1","10","4","16","608","510","322"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","02_20～24歳","","1,113","503","1,440","475","80","87","61","302","109","11","1","3","12","26","59","95","18","36","11","3","33","6","11","643","499","298"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","03_25～29歳","","1,744","766","1,440","471","72","86","50","365","8","43","2","48","19","34","56","88","9","32","7","1","26","4","19","629","534","276"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","04_30～34歳","","3,266","1,348","1,440","474","74","89","39","329","4","74","4","81","23","37","50","77","8","26","6","1","19","7","18","636","554","249"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","05_35～39歳","","5,337","1,945","1,440","444","79","90","44","346","3","95","3","73","24","37","55","73","8","21","7","3","15","4","16","613","588","239"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","06_40～44歳","","7,818","2,562","1,440","435","82","92","42","337","3","115","2","38","25","35","71","76","8","24","8","5","17","5","18","609","563","268"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","07_45～49歳","","8,113","2,750","1,440","419","84","92","46","354","4","117","4","10","26","32","91","81","6","23","9","4","16","4","18","595","563","283"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","08_50～54歳","","7,699","2,500","1,440","416","82","96","45","343","3","110","3","4","29","35","111","79","6","26","9","4","17","7","16","594","537","309"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","09_55～59歳","","7,852","2,335","1,440","419","83","98","40","310","2","112","6","5","30","35","131","78","8","27","11","5","18","5","18","599","504","336"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","10_60～64歳","","6,915","2,006","1,440","431","83","105","32","222","2","120","8","6","32","46","164","73","8","37","15","6","20","7","24","619","421","400"
